location,size,total_sqft,bath,price
New Town,3 BHK,1614,3.0,95.0
deshbandhu nagar,2 BHK,1363,2.0,68.0
Hussainpur,2 Bedroom,650,2.0,28.0
Ward No 113,2 BHK,1015,2.0,45.0
Tiljala,2 BHK,1156,2.0,46.0
Tiljala,2 BHK,1100,2.0,62.7
Khardah,3 BHK,1455,3.0,46.0
Tagore Park,2 BHK,930,2.0,45.0
Rajarhat,3 BHK,1650,2.0,80.0
East Kolkata Township,2 Bedroom,1200,2.0,90.0
Tagore Park,1 Bedroom,700,1.0,150.0
East Kolkata Township,4 BHK,2900,3.0,135.0
Tiljala,3 BHK,1890,4.0,127.0
Tiljala,3 BHK,2197,4.0,280.0
Howrah,3 BHK,3522,3.0,380.0
Narendrapur,3 BHK,1240,2.0,46.0
New Town,2 BHK,1440,2.0,98.0
Sonarpur,1 BHK,650,1.0,38.0
Sonarpur,1 BHK,764,1.0,32.0
Rajarhat,5 Bedroom,900,4.0,90.0
Sonarpur,3 BHK,1693,3.0,57.39
Rajarhat,3 BHK,1445,3.0,65.0
Tiljala,2 BHK,900,1.0,45.0
Belghoria,2 BHK,1030,2.0,55.0
New Town,3 BHK,1381,2.0,52.48
Belghoria,2 BHK,1100,2.0,60.0
Belghoria,3 BHK,1575,3.0,66.39
New Town,2 Bedroom,1200,2.0,65.0
New Town,2 BHK,1200,2.0,43.2
New Town,2 BHK,1080,2.0,80.0
New Town,5 Bedroom,2280,5.0,200.0
Lake Town,3 BHK,1360,2.0,85.0
New Town,3 BHK,1865,3.0,124.0
Barisha Purba Para Road,3 BHK,1157,2.0,75.0
Barisha Purba Para Road,2 BHK,674,2.0,29.0
New Town,3 BHK,1405,2.0,78.0
Joka,2 BHK,1160,2.0,44.08
Kaikhali,4 Bedroom,1600,3.0,172.0
Khardah,3 BHK,1790,3.0,127.0
Garia,2 BHK,1128,2.0,65.65
Baguihati,2 BHK,1180,2.0,70.0
Barisha Purba Para Road,3 BHK,1450,2.0,85.0
Barisha Purba Para Road,1 BHK,340,1.0,10.0
Barisha Purba Para Road,4 Bedroom,2000,3.0,166.0
Barisha Purba Para Road,2 BHK,1050,2.0,53.5
Uttarpara Kotrung,2 BHK,1125,2.0,40.0
New Town,2 BHK,1246,2.0,68.0
Rajarhat,2 BHK,1372,2.0,61.0
Rajarhat,3 BHK,1330,2.0,56.0
Salt Lake City,3 BHK,2465,5.0,234.0
Salt Lake City,2 BHK,1300,2.0,55.0
Salt Lake City,2 Bedroom,1420,1.0,220.0
Salt Lake City,4 Bedroom,810,4.0,50.0
Salt Lake City,2 BHK,1065,2.0,35.0
Salt Lake City,2 BHK,700,2.0,27.0
Barisha Purba Para Road,2 BHK,547.34 - 827.31,2.0,42.72
Salt Lake City,2 BHK,1050,2.0,45.0
Salt Lake City,3 BHK,1250,3.0,39.5
Alipore,2 BHK,865,2.0,42.0
Narendrapur,2 BHK,1200,2.0,44.0
Topsia,3 BHK,1756,3.0,100.0
Tangra,9 Bedroom,750,8.0,150.0
Tiljala,1 BHK,628,1.0,24.0
Tiljala,7 Bedroom,1200,6.0,195.0
Nayabad,2 BHK,1207,2.0,63.0
Tiljala,3 BHK,1765,3.0,125.0
Netaji Nagar,2 BHK,1130,2.0,32.64
Sarsuna,3 BHK,1532,3.0,92.0
Joka,3 BHK,1650,3.0,110.0
New Town,4 Bedroom,1200,4.0,105.0
Kamalgazi,2 BHK,804.1,2.0,69.09
Kamalgazi,2 BHK,1200,2.0,75.0
Kamalgazi,2 BHK,1197,2.0,50.0
Tollygunge,2 BHK,1200,2.0,66.0
Bansdroni,3 BHK,1385,2.0,48.48
Nayabad,2 BHK,1010,2.0,148.0
Tagore Park,3 BHK,2225,3.0,115.0
Tagore Park,2 BHK,1180,2.0,48.0
Sodepur,3 BHK,1525,2.0,122.0
Uttarpara Kotrung,2 BHK,1100,2.0,31.5
Uttarpara Kotrung,3 BHK,1435,3.0,70.0
Uttarpara Kotrung,1 BHK,400,1.0,14.0
Garia,2 BHK,1200,2.0,50.0
Garia,2 BHK,1272,2.0,95.05
New Town,2 BHK,1205,2.0,39.0
New Town,2 BHK,980,2.0,40.0
New Town,2 BHK,1225,2.0,46.86
New Town,3 BHK,1541,3.0,72.0
Hussainpur,3 BHK,1610,2.0,111.0
Rajarhat,2 BHK,1694,2.0,125.0
Rajarhat,3 Bedroom,600,3.0,75.0
Khardah,2 BHK,950,2.0,39.0
Khardah,3 BHK,1560,2.0,66.0
New Town,2 BHK,1201,2.0,27.0
New Town,2 Bedroom,1500,2.0,60.0
Keshtopur,3 BHK,1785,3.0,75.0
New Town,2 BHK,1258,2.0,63.53
Salt Lake City,2 BHK,910,2.0,42.0
Salt Lake City,2 BHK,1297,2.0,112.0
Behala,2 BHK,1291,2.0,49.0
Behala,2 BHK,1070,2.0,42.0
Behala,2 BHK,1012,2.0,66.5
Dum Dum,2 BHK,1260,2.0,57.6
Dum Dum,2 BHK,1282,2.0,72.0
Dum Dum,3 BHK,1843,3.0,92.15
Dum Dum,4 Bedroom,2400,3.0,200.0
Dum Dum,5 Bedroom,3356,5.0,105.0
Dum Dum,4 BHK,2790,5.0,198.0
Dum Dum,2 BHK,1330,2.0,86.98
Behala,3 BHK,1400,2.0,73.0
New Town,2 BHK,1192,2.0,71.0
Bansdroni,2 BHK,1000,2.0,130.0
Garia,2 BHK,1297,2.0,103.0
New Town,1 BHK,580 - 650,1.0,17.835
Rajarhat,3 BHK,1490,3.0,100.0
Bansdroni,3 BHK,1373,3.0,72.0
Madhyamgram,2 BHK,1035,2.0,41.39
Maheshtala,4 Bedroom,3750,4.0,210.0
Madhyamgram,2 BHK,1010,2.0,40.39
Rajarhat,2 BHK,1195,2.0,42.0
Tollygunge,3 BHK,1750,3.0,95.0
Tollygunge,2 BHK,1052,2.0,50.0
Bansdroni,2 BHK,1180,2.0,58.0
Tollygunge,5 Bedroom,3680,4.0,440.0
Tollygunge,3 BHK,2100,3.0,73.0
Behala,4 Bedroom,2863,4.0,140.0
Paschim Putiary,2 BHK,1128,2.0,38.24
Bhawanipur,3 BHK,2700,3.0,450.0
VIP Nagar,2 BHK,1120,2.0,33.6
Tagore Park,3 BHK,2424,3.0,90.0
Tiljala,2 BHK,1300,2.0,60.0
Kasba,2 BHK,1090,2.0,32.69
Kasba,3 Bedroom,2710,3.0,251.0
Kasba,2 Bedroom,3040,1.0,180.0
Kasba,3 BHK,1330,2.0,46.55
Sodepur,3 BHK,1427,2.0,80.63
Nayabad,3 BHK,1294,2.0,48.0
Nayabad,3 BHK,1580,3.0,75.0
Nayabad,5 Bedroom,400,5.0,200.0
Barisha,3 Bedroom,1808,4.0,80.27
Barisha,4 BHK,3516,4.0,540.0
New Town,2 BHK,1194,2.0,47.0
New Town,2 BHK,900,2.0,46.0
Barisha,3 BHK,1310,2.0,50.0
Barisha Purba Para Road,2 BHK,900,2.0,46.0
Barisha Purba Para Road,4 Bedroom,3850,6.0,195.0
Dakshineswar,7 Bedroom,925,7.0,88.0
Maheshtala,2 BHK,2400,1.0,150.0
Maheshtala,2 BHK,1290,2.0,100.0
Behala,6 Bedroom,3770,6.0,110.0
Bansdroni,3 BHK,1390,3.0,120.0
Bansdroni,4 Bedroom,1200,4.0,72.0
New Town,2 BHK,845,2.0,33.0
Uttarpara Kotrung,3 BHK,1537,3.0,120.0
Kamarhati on BT Road,2 BHK,1135,2.0,68.0
Uttarpara Kotrung,3 BHK,1512,3.0,75.77
Uttarpara Kotrung,2 BHK,900,2.0,55.0
Uttarpara Kotrung,3 BHK,1230,3.0,54.0
Jodhpur Park,3 BHK,1378,2.0,42.33
Jodhpur Park,2 BHK,1277,2.0,61.3
Bansdroni,3 BHK,1985,4.0,189.0
Rajarhat,5 Bedroom,8000,5.0,500.0
Keshtopur,2 BHK,1210,2.0,62.0
Keshtopur,2 BHK,890,2.0,40.0
Narendrapur,9 Bedroom,2550,9.0,360.0
Narendrapur,4 Bedroom,1200,5.0,110.0
Narendrapur,4 BHK,3198,4.0,200.0
Narendrapur,3 BHK,1464,3.0,56.0
Narendrapur,4 BHK,2483,5.0,215.0
Narendrapur,4 Bedroom,1550,4.0,130.0
Ichapur,4 BHK,4111,4.0,310.0
Dum Dum,2 BHK,975,2.0,37.5
Dum Dum,3 BHK,2500,3.0,250.0
Dum Dum,3 BHK,1690,3.0,125.0
Dum Dum,2 BHK,1063,2.0,31.89
Dum Dum,3 Bedroom,2572,3.0,390.0
Dum Dum,3 BHK,2200,4.0,350.0
Dum Dum,3 BHK,1600,3.0,80.0
Dum Dum,3 BHK,1250,3.0,39.5
Dum Dum,1 BHK,520,1.0,19.5
Dum Dum,4 BHK,4000,5.0,212.0
Dum Dum,3 BHK,1390,3.0,68.0
Dum Dum,2 BHK,1185,2.0,40.0
Dum Dum,2 BHK,1219,2.0,48.0
Dum Dum,3 BHK,1564,2.0,92.0
Dum Dum,4 BHK,3425 - 3435,6.0,228.5
New Town,2 BHK,1100,2.0,37.1
New Town,3 BHK,1300,2.0,60.0
Narendrapur,3 Bedroom,1600,2.0,80.0
Narendrapur,3 Bedroom,1600,3.0,75.0
Narendrapur,3 BHK,1482,2.0,92.0
Narendrapur,3 Bedroom,1000,4.0,66.0
Narendrapur,2 BHK,1200,2.0,53.0
Narendrapur,3 Bedroom,600,3.0,75.0
Ichapur,2 BHK,1200,2.0,58.0
Dum Dum,6 Bedroom,600,4.0,60.0
Dum Dum,3 Bedroom,2400,3.0,160.0
Dum Dum,3 BHK,1469,3.0,89.0
Dum Dum,1 BHK,551,1.0,30.0
Dum Dum,2 BHK,1160,2.0,52.0
Dum Dum,2 BHK,1205,2.0,78.5
Dum Dum,3 BHK,1550,2.0,52.0
Dum Dum,3 BHK,1745,3.0,125.0
Dum Dum,2 BHK,1028,2.0,42.0
Dum Dum,3 BHK,1700,3.0,180.0
Dum Dum,3 BHK,1200,2.0,34.0
Dum Dum,3 BHK,2700,4.0,270.0
Dum Dum,2 BHK,1100,2.0,50.0
Dum Dum,2 Bedroom,1200,3.0,72.0
Dum Dum,2 BHK,1269.72,2.0,68.0
Dum Dum,2 BHK,1266,2.0,59.0
Behala,2 BHK,1060,2.0,62.0
Behala,3 Bedroom,1168,3.0,70.0
Salkia,2 BHK,1552,2.0,51.0
Bally,3 BHK,1804 - 2273,3.0,120.0
Barisha Purba Para Road,1 BHK,500,1.0,17.0
Barisha Purba Para Road,2 BHK,1080,2.0,43.2
Behala,4 Bedroom,2100,4.0,155.0
Keshtopur,2 BHK,1300,2.0,65.0
Barisha Purba Para Road,2 BHK,920,2.0,33.0
Barisha Purba Para Road,4 Bedroom,817,2.0,120.0
Tiljala,2 BHK,1310,2.0,50.0
Tagore Park,3 BHK,1650,2.0,75.0
Tagore Park,3 BHK,1515,3.0,93.93
Barisha Purba Para Road,2 BHK,1157,2.0,53.8
Barisha Purba Para Road,4 BHK,2400,5.0,85.0
Behala,4 BHK,3000,4.0,160.0
Keshtopur,3 BHK,2200,2.0,162.0
Barisha Purba Para Road,2 BHK,1243,2.0,58.0
Barisha Purba Para Road,3 BHK,1530,2.0,74.39
Tiljala,3 BHK,2070,3.0,162.0
Tagore Park,3 BHK,1815,3.0,82.0
Tagore Park,4 BHK,3900,4.0,300.0
Barisha Purba Para Road,2 BHK,1000,2.0,28.88
Barisha Purba Para Road,2 BHK,982,2.0,24.55
Sarsuna,2 BHK,1232,2.0,89.0
Sarsuna,3 BHK,1282,3.0,178.0
Behala,1 BHK,654,1.0,38.4
Behala,2 BHK,1181,2.0,55.0
Paschim Barisha,3 BHK,1075,2.0,45.0
Bansdroni,4 Bedroom,1200,4.0,245.0
Bansdroni,3 BHK,1616,3.0,75.0
Bansdroni,5 Bedroom,1800,6.0,44.5
Bansdroni,6 Bedroom,1200,4.0,135.0
Bansdroni,3 BHK,1306,3.0,54.65
New Town,3 BHK,1626,3.0,89.0
Sarsuna,6 BHK,2700,4.0,214.0
Sarsuna,3 BHK,1585,3.0,88.0
Tagore Park,2 BHK,1370,2.0,56.17
Barisha Purba Para Road,5 Bedroom,3250,5.0,900.0
Keshtopur,2 BHK,1495,2.0,90.0
Behala,3 BHK,2000,3.0,210.0
Barisha Purba Para Road,5 Bedroom,2400,4.0,300.0
Barisha Purba Para Road,3 Bedroom,1375,3.0,57.0
Behala,4 BHK,3630 - 3800,6.0,224.5
Thakurpukur,3 BHK,1400,2.0,48.0
Sodepur,5 BHK,1100,5.0,135.0
Behala,1 BHK,660 - 670,,28.585
Behala,4 Bedroom,1200,4.0,215.0
Jadavpur,2 BHK,1150,2.0,46.0
Jadavpur,2 BHK,1080,2.0,54.0
Tollygunge,3 BHK,1645,3.0,100.0
Tiljala,3 BHK,1760,3.0,176.0
Tangra,1 BHK,595,1.0,42.0
Tangra,3 Bedroom,1200,3.0,125.0
Tangra,4 BHK,4000 - 5249,4.0,314.5
Kasba,2 BHK,1410,2.0,67.0
Kasba,2 BHK,1090,2.0,31.48
Barisha,1 Bedroom,540,1.0,30.0
Behala,2 BHK,1300,2.0,60.0
Behala,3 BHK,1890,2.0,85.0
Kasba,2 BHK,1254,2.0,53.0
Barisha Purba Para Road,7 Bedroom,2800,7.0,125.0
Sarsuna,2 BHK,1275,2.0,120.0
Sarsuna,3 BHK,1245,2.0,68.48
Tangra,2 BHK,1170,2.0,86.0
Phool Bagan,2 BHK,1193,2.0,86.0
Phool Bagan,2 BHK,850,2.0,25.4
Dhapa,3 BHK,1678,3.0,70.0
Tangra,3 BHK,1600,3.0,75.0
Jorabagan,3 BHK,1750,3.0,84.0
Ultadanga,2 BHK,1125,2.0,62.0
Ultadanga,4 Bedroom,2200,4.0,235.0
Sealdah,3 Bedroom,1500Sq. Meter,3.0,95.0
Sealdah,3 BHK,2800,2.0,200.0
Behala,2 Bedroom,1200,2.0,120.0
Kasba,2 BHK,1000,2.0,50.0
Barisha Purba Para Road,4 BHK,2780,5.0,480.0
Keyatala,3 BHK,1320,2.0,38.13
Behala,27 BHK,8000,27.0,230.0
Behala,4 BHK,2422,4.0,160.0
Ashok Nagar,2 BHK,1100,2.0,50.0
Behala,2 BHK,882,2.0,30.0
Barisha Purba Para Road,2 BHK,845,2.0,37.0
Barisha Purba Para Road,2 BHK,883,2.0,39.0
Barisha Purba Para Road,1 BHK,620 - 933,,48.145
Barisha Purba Para Road,3 BHK,1595,3.0,88.0
Behala,2 BHK,1280,2.0,85.0
Behala,4 Bedroom,1700,2.0,550.0
Behala,2 BHK,920,2.0,35.0
Tangra,2 BHK,1300,2.0,57.0
Barisha Purba Para Road,2 BHK,1450,1.0,230.0
Sarsuna,3 BHK,1757,3.0,132.0
Dum Dum,1 BHK,600,1.0,16.5
Dum Dum,4 Bedroom,2400,3.0,142.0
Purba Putiary,2 BHK,1240,2.0,44.0
Garia,10 Bedroom,750,10.0,90.0
Behala,2 BHK,1330,2.0,93.36
Barisha Purba Para Road,2 BHK,1062,2.0,42.47
Kamalgazi,2 BHK,1078,2.0,45.0
Dhakuria,3 BHK,1460,2.0,72.0
Garia,3 Bedroom,1200,3.0,68.5
Garia,1 BHK,1200,1.0,48.0
Ashok Nagar,3 BHK,912,2.0,39.0
Garia,3 BHK,142.61Sq. Meter,3.0,115.0
Garia,5 Bedroom,2400,5.0,625.0
Behala,4 Bedroom,2028,4.0,162.0
Behala,2 BHK,980,2.0,45.47
Salt Lake City,2 BHK,1000,2.0,40.0
Behala,2 BHK,1050,2.0,62.0
Barisha Purba Para Road,3 Bedroom,2611,3.0,239.0
Barisha Purba Para Road,3 BHK,1875,2.0,150.0
Behala,2 BHK,1065,2.0,42.6
New Town,3 BHK,1800,3.0,180.0
New Town,2 BHK,1163,2.0,98.86
Ballygunge,2 BHK,1098,2.0,72.0
Ballygunge,3 BHK,1725,2.0,100.0
Barasat,4 Bedroom,4000,4.0,330.0
Rajarhat,2 BHK,1128,2.0,75.0
Boral,8 Bedroom,1320,6.0,200.0
Barisha Purba Para Road,3 BHK,1705,3.0,74.16
Behala,2 BHK,1418,2.0,95.0
Rajarhat,3 Bedroom,1500,3.0,160.0
Bansdroni,2 BHK,1100,2.0,50.0
Rajarhat,3 BHK,1464,3.0,56.0
Behala,2 BHK,812,2.0,55.0
Sodepur,4 BHK,2695 - 2940,,204.0
Sodepur,2 BHK,1280,2.0,40.0
New Town,2 BHK,1420,2.0,136.0
Garia,11 Bedroom,1200,11.0,170.0
Garia,6 Bedroom,727,6.0,66.0
Garia,4 Bedroom,1200,2.0,150.0
Tangra,4 BHK,2774,4.0,207.0
Tangra,3 BHK,2000,3.0,85.0
Tangra,3 BHK,1722,3.0,95.0
Behala,3 BHK,2800,3.0,330.0
Hussainpur,,2000 - 5634,,124.0
Tangra,3 BHK,1650,3.0,175.0
Tangra,2 BHK,840,2.0,27.0
Tangra,2 BHK,914,2.0,47.0
Tangra,3 BHK,1482,2.0,83.73
Tangra,3 BHK,1724,3.0,127.0
Tangra,3 BHK,1670,3.0,91.86
Tangra,2 BHK,1184,2.0,53.0
Tangra,2 BHK,1200,2.0,55.0
Tangra,2 Bedroom,1200,2.0,65.0
Ashok Nagar,2 BHK,927,2.0,55.0
Barisha Purba Para Road,2 BHK,1242,2.0,39.7
Barisha Purba Para Road,3 BHK,1220,3.0,35.23
Barisha Purba Para Road,3 BHK,1360,2.0,75.0
Behala,4 Bedroom,2800,4.0,240.0
Topsia,2 BHK,1180,2.0,72.0
Alipore,3 BHK,1697,3.0,108.0
Alipore,2 BHK,550,2.0,26.0
Alipore,2 BHK,1225,2.0,57.0
Alipore,3 BHK,1690,2.0,55.0
Tangra,10 Bedroom,1660,10.0,475.0
Tangra,3 BHK,1488,3.0,57.0
Tangra,3 BHK,1250,2.0,80.0
Tangra,1 BHK,1050,1.0,44.0
Tangra,2 BHK,1027,2.0,44.0
Tangra,3 BHK,1699,3.0,81.94
Tangra,2 BHK,1205,2.0,58.0
Tangra,4 Bedroom,712,2.0,67.5
Barisha Purba Para Road,2 BHK,950,2.0,39.0
Uttarpara Kotrung,2 Bedroom,1200,2.0,70.0
Garia,3 BHK,1476,3.0,120.0
Garia,2 BHK,1070,2.0,55.0
Uttarpara Kotrung,3 BHK,2160,4.0,172.0
Uttarpara Kotrung,2 BHK,1296,2.0,75.0
Liluah,2 Bedroom,1800,1.0,128.0
Bansdroni,3 BHK,1570,3.0,64.5
Bansdroni,2 BHK,1300,2.0,110.0
Madhyamgram,4 BHK,1550,2.0,65.0
Bansdroni,2 BHK,770,1.0,40.0
Alipore,3 BHK,1870,3.0,110.0
Alipore,3 Bedroom,1650,4.0,160.0
Boral,3 BHK,1429,3.0,86.0
New Town,3 BHK,1167,2.0,39.98
Barisha Purba Para Road,2 BHK,1035,2.0,41.73
Garia,3 BHK,1188,2.0,38.0
Bansdroni,5 Bedroom,1200,4.0,285.0
Bansdroni,3 Bedroom,1574Sq. Yards,3.0,76.0
Belghoria,1 BHK,884,2.0,36.0
Sodepur,2 BHK,1194,2.0,46.0
Sodepur,2 BHK,1026,2.0,60.87
Sodepur,7 Bedroom,1400,6.0,200.0
Dakshineswar,2 BHK,1115,2.0,50.0
Dakshineswar,2 Bedroom,1200,2.0,125.0
Bansdroni,4 BHK,2690,4.0,191.0
Behala,2 BHK,975,2.0,58.0
Keshtopur,3 Bedroom,675,3.0,72.5
Howrah,4 BHK,1900,2.0,170.0
Dum Dum Cantonment,3 Bedroom,600,3.0,100.0
Sodepur,2 BHK,1101,2.0,65.5
Behala,3 BHK,1700,3.0,135.0
Garia,4 BHK,3606,4.0,312.0
Garia,2 BHK,1258,2.0,115.0
Garia,3 BHK,1560,3.0,92.0
Garia,4 BHK,3630,6.0,195.0
New Town,3 BHK,2000,3.0,250.0
New Town,4 BHK,2790,4.0,198.0
Haltu,3 BHK,1494,2.0,94.55
Haltu,3 BHK,1482,2.0,87.0
Haltu,2 BHK,800,2.0,50.0
Haltu,2 BHK,1185,2.0,47.39
Rajarhat,2 BHK,1100,2.0,71.5
Garia,2 Bedroom,1300,2.0,120.0
Sodepur,2 BHK,1225,2.0,150.0
Sodepur,3 BHK,1758,3.0,65.0
Mali Panchghara,2 BHK,1145,2.0,55.0
Mali Panchghara,2 BHK,1180,2.0,50.0
Uttarpara Kotrung,2 BHK,1260,2.0,58.0
Patuli,4 BHK,3450 - 3472,,173.0
New Town,2 BHK,1190,2.0,55.0
Haltu,3 BHK,1691,3.0,119.0
Haltu,4 BHK,3675,4.0,367.0
Haltu,3 BHK,1305,3.0,95.45
Rajarhat,3 BHK,2337,4.0,292.0
Garia,2 Bedroom,1200,2.0,150.0
Sodepur,2 BHK,1206,2.0,217.0
Sodepur,5 Bedroom,1350,4.0,130.0
Tagore Park,2 BHK,1140,2.0,50.66
Paschim Barisha,2 BHK,1250,2.0,65.0
Topsia,3 Bedroom,600,2.0,60.0
Konnagar,2 BHK,1225,2.0,48.0
Konnagar,2 BHK,800,2.0,28.0
New Town,2 BHK,1020,2.0,58.0
Rajarhat,4 Bedroom,2100,2.0,50.0
Baguiati,2 Bedroom,1350,2.0,80.0
Garia,2 BHK,925,2.0,40.0
Nayabad,4 Bedroom,1800,3.0,220.0
Belghoria,3 Bedroom,2000,3.0,100.0
Sodepur,3 BHK,1510,2.0,75.0
Sodepur,5 Bedroom,5800,7.0,1200.0
Mukundapur,3 BHK,1614,3.0,110.0
Sodepur,3 Bedroom,682,2.0,130.0
Garia,2 Bedroom,1200,2.0,95.0
Mukundapur,2 Bedroom,900,2.0,55.0
Maheshtala,4 Bedroom,1632,3.0,145.0
Sodepur,2 BHK,1041,2.0,65.5
Sodepur,6 BHK,5080,7.0,450.0
Sodepur,4 BHK,3012,6.0,250.0
Garia,3 BHK,1530,3.0,74.5
Nayabad,3 BHK,1450,2.0,135.0
Keshtopur,2 BHK,1200,2.0,75.0
Dhakuria,4 Bedroom,1200,4.0,130.0
Rajarhat,3 BHK,1508,2.0,110.0
New Alipore,7 BHK,600,7.0,106.0
New Town,2 BHK,1188,2.0,73.0
Ariadaha,4 BHK,2690,4.0,199.0
Keshtopur,2 BHK,1174,2.0,76.0
Ballygunge,3 BHK,1350,3.0,58.99
Rajarhat,3 BHK,1870,3.0,185.0
Rajarhat,2 BHK,1072,2.0,25.0
New Alipore,3 Bedroom,52272,2.0,140.0
New Town,2 BHK,726,2.0,31.0
New Town,2 BHK,1345,2.0,106.0
Belghoria,2 BHK,1200,2.0,45.0
Joka,2 BHK,980,2.0,37.0
Behala,2 BHK,1050,2.0,77.0
Behala,2 BHK,993,2.0,39.71
Garia,3 BHK,1300,2.0,52.0
Garfa,3 BHK,1743,3.0,85.0
Kamdahari,4 Bedroom,1204,4.0,125.0
Akra,2 Bedroom,1200,2.0,67.0
New Alipore,3 BHK,1480,3.0,90.0
Baguiati,2 BHK,950,2.0,32.5
Maniktala,1 BHK,640,1.0,55.0
Rajarhat,2 BHK,972,2.0,44.0
Ward No 113,3 BHK,1840,3.0,98.0
Garia,2 BHK,1128,2.0,64.0
Lake Town,2 Bedroom,680,2.0,42.0
Netaji Nagar,2 Bedroom,2400,2.0,95.0
Rajarhat,2 BHK,1045,2.0,42.0
Tiljala,2 BHK,955,2.0,53.55
Joka,3 BHK,1360,2.0,54.39
Rajarhat,2 BHK,1150,2.0,63.0
Madhyamgram,4 Bedroom,3450,4.0,294.0
New Town,2 BHK,1115,2.0,56.87
Behala,2 BHK,920,2.0,46.0
New Town,2 BHK,1030,2.0,41.0
Garia,3 BHK,1564,3.0,101.0
Garia,2 BHK,1045,2.0,45.0
Garia,4 Bedroom,1200,4.0,83.0
Garia,2 BHK,1277,2.0,55.0
Garia,3 BHK,2479.13,3.0,215.0
New Town,3 BHK,1846,3.0,140.0
Alipore,2 BHK,1100,2.0,106.0
Rajarhat,3 BHK,1690,3.0,75.0
New Town,2 Bedroom,1200,3.0,70.0
Alipore,4 Bedroom,3042,4.0,131.0
Alipore,3 BHK,1640,3.0,223.0
Garia,2 BHK,1068,2.0,40.05
Garia,2 BHK,1135,2.0,58.0
New Town,3 BHK,1925,3.0,120.0
New Town,3 BHK,1615,3.0,60.0
Belghoria,1 BHK,650,1.0,26.0
Dum Dum,9 Bedroom,1200,9.0,120.0
Lake Town,2 BHK,1150,2.0,42.0
Lake Town,6 Bedroom,930,6.0,135.0
Garia,3 BHK,1410,2.0,45.12
Bansdroni,3 Bedroom,600,2.0,100.0
Bansdroni,3 BHK,2000,3.0,207.0
Behala,3 BHK,1354,3.0,90.0
Joka,2 Bedroom,1050,2.0,110.0
Joka,1 BHK,600,1.0,28.0
Bramhapur,4 Bedroom,1320,2.0,110.0
Bramhapur,3 BHK,1600,3.0,88.0
New Town,4 Bedroom,3500,6.0,225.0
New Town,2 BHK,1000,2.0,36.0
New Town,3 BHK,1130,3.0,38.0
Santoshpur,2 BHK,1238,2.0,67.0
Behala,3 BHK,2204,2.0,305.0
Nayabad,8 Bedroom,1200,12.0,110.0
Tagore Park,3 BHK,1364,2.0,46.38
Behala,2 BHK,900,2.0,45.0
Konnagar,3 BHK,1745,3.0,104.0
Bansdroni,2 BHK,1200,2.0,53.33
Tagore Park,2 BHK,1020,2.0,42.83
Tiljala,3 BHK,1650,3.0,118.0
Bansdroni,3 BHK,1550,2.0,70.0
Netaji Nagar,2 BHK,1440,2.0,60.0
Netaji Nagar,3 BHK,1329,2.0,45.95
Kasba,2 BHK,916,2.0,42.0
Kasba,1 BHK,688,1.0,50.0
Tagore Park,3 BHK,1358,3.0,50.0
deshbandhu nagar,2 BHK,1331,2.0,107.0
New Alipore,1 BHK,686,1.0,62.5
New Alipore,2 BHK,1050,2.0,50.0
Sarada Pally,3 BHK,2106,3.0,126.0
New Alipore,3 BHK,1718,3.0,90.2
Tagore Park,3 BHK,1530,3.0,57.0
Tagore Park,2 BHK,1206,2.0,56.0
New Town,2 BHK,1075,2.0,52.0
New Alipore,3 Bedroom,1200,3.0,95.0
Sarada Pally,3 BHK,1936,2.0,54.21
New Alipore,4 BHK,2172.65,3.0,120.0
Tagore Park,3 BHK,1100,2.0,75.0
Tagore Park,3 Bedroom,1260,5.0,185.0
New Town,8 Bedroom,990,12.0,120.0
New Town,3 Bedroom,800,2.0,80.0
New Town,2 BHK,1117,2.0,29.99
New Town,3 BHK,1685,2.0,110.0
New Town,2 BHK,740,2.0,37.0
Maheshtala,4 Bedroom,1080,4.0,250.0
Maheshtala,4 Bedroom,1500,2.0,93.0
Maheshtala,3 BHK,1800,3.0,115.0
Dhakuria,3 BHK,1700,3.0,130.0
Hussainpur,2 BHK,850,2.0,37.93
Garia,3 BHK,1891,3.0,139.0
Garia,2 BHK,1400,1.0,80.0
Regent Park,2 BHK,1172,2.0,82.0
south dum dum,3 BHK,1400,2.0,40.43
Lake Gardens,2 BHK,896,2.0,43.75
Maheshtala,2 BHK,1180,2.0,65.0
New Town,7 Bedroom,2460,7.0,350.0
Rajarhat,2 BHK,850,2.0,33.0
Tollygunge,1 BHK,530,1.0,18.0
Nayabad,3 BHK,1550,3.0,110.0
Sinthi,3 BHK,1699,3.0,97.0
New Town,4 BHK,2025,4.0,109.0
New Town,1 BHK,500,2.0,14.0
New Town,1 BHK,500,1.0,20.0
New Town,2 BHK,1146,2.0,38.5
Dhakuria,3 BHK,2475,4.0,332.0
Dhakuria,2 BHK,1455,2.0,145.0
Kamalgazi,2 Bedroom,800,1.0,50.0
Tiljala,1 BHK,765,2.0,30.0
Baguiati,3 BHK,1521,3.0,94.99
Keshtopur,3 BHK,1600,2.0,55.0
Keshtopur,3 BHK,3155,4.0,370.0
Ganguly Bagan,3 BHK,2900,4.0,240.0
Keshtopur,3 BHK,1765,3.0,105.0
Garia,3 BHK,1980,3.0,88.0
Rajpur,3 Bedroom,1900,3.0,135.0
Madhyamgram,2 BHK,1265,2.0,70.0
